Linear,Digital,Overlap
12098,8872,30
12098,9678,31
12098,10485,32
12098,11291,39
12098,12098,40
12098,12904,44
12098,13711,47
12098,14517,54
12098,15324,55
12098,16131,58
12098,16937,59
12098,17744,60
12098,18550,62
12098,19357,64
12098,20163,65
12098,20970,67
12098,21776,74
12098,22583,75
12098,23389,78
12098,24196,81
12098,25003,85
12098,25809,91
12098,26616,93
12098,27422,97
12098,28229,99
12098,29035,102
12098,29842,110
12098,30648,116
12098,31455,120
12098,32262,122
12098,33068,126
12098,33875,130
12098,34681,132
12098,35488,136
12098,36294,139
12098,37101,140
12098,37907,143
12098,38714,144
12098,39520,148
12098,40327,151
12098,41134,155
12098,41940,157
12098,42747,160
12098,43553,167
12098,44360,171
12098,45166,174
12098,45973,174
12098,46779,175
12098,47586,177
12098,48393,182
12098,49199,185
12098,50006,187
12098,50812,188
12098,51619,189
12098,52425,191
12098,53232,192
12098,54038,194
12098,54845,199
12098,55651,201
12098,56458,208
12098,57265,208
12098,58071,211
12098,58878,214
12098,59684,220
12098,60491,224
12098,61297,226
12098,62104,230
12098,62910,235
12098,63717,239
12098,64524,244
12098,65330,251
12098,66137,255
12098,66943,258
12098,67750,260
12098,68556,262
12098,69363,264
12098,70169,265
12098,70976,266
12098,71782,269
12098,72589,272
12098,73396,278
12098,74202,284
12098,75009,289
12098,75815,293
12098,76622,295
12098,77428,298
12098,78235,305
12098,79041,312
12098,79848,315
12098,80655,318
14114,0,0
14114,806,0
14114,1613,5
14114,2419,6
14114,3226,9
14114,4032,14
14114,4839,15
14114,5645,17
14114,6452,22
14114,7258,27
14114,8065,32
14114,8872,35
14114,9678,36
14114,10485,37
14114,11291,47
14114,12098,48
14114,12904,53
14114,13711,56
14114,14517,63
14114,15324,64
14114,16131,68
14114,16937,70
14114,17744,71
14114,18550,73
14114,19357,76
14114,20163,78
14114,20970,81
14114,21776,88
14114,22583,89
14114,23389,93
14114,24196,96
14114,25003,102
14114,25809,109
14114,26616,111
14114,27422,115
14114,28229,117
14114,29035,120
14114,29842,128
14114,30648,135
14114,31455,140
14114,32262,143
14114,33068,147
14114,33875,151
14114,34681,153
14114,35488,157
14114,36294,160
14114,37101,161
14114,37907,164
14114,38714,165
14114,39520,170
14114,40327,173
14114,41134,178
14114,41940,180
14114,42747,185
14114,43553,193
14114,44360,197
14114,45166,200
14114,45973,200
14114,46779,203
14114,47586,206
14114,48393,212
14114,49199,215
14114,50006,217
14114,50812,218
14114,51619,221
14114,52425,223
14114,53232,224
14114,54038,227
14114,54845,233
14114,55651,235
